CODE	ENGLISH	CHINESE	JAPAN	SPANISH	SWAHILI	DANISH	THAI	INDONESIA	VIETNAM	PORTOGUESE	KOREA	BURMESE
L_17	AFTER PURCHASE, CONSENT TO FORFEIT CURRENT GAME STATE AND IMMEDIATELY ENTER FEATURED GAME.	 购买后即同意放弃游戏当前状态，并立即进入特色游戏	購入後、現在のゲーム状態を放棄し、注目のゲームにすぐに参加することに同意します。	DESPUÉS DE LA COMPRA, CONSIENTE PERDER EL ESTADO ACTUAL DEL JUEGO E INGRESAR INMEDIATAMENTE AL JUEGO DESTACADO.	BAADA YA KUNUNUA, IKUBALI KUPOTEZA HALI YA SASA YA MCHEZO NA UINGIE MARA MOJA MCHEZO ULIOAngaziwa.	EFTER KØB, SAMTYKKE TIL AT FORTAGE AKTUELLE SPILSTAT OG STRAKS INDGIVE UDVALGTE SPIL.	หลังจากซื้อแล้ว ยินยอมที่จะสูญเสียสถานะเกมปัจจุบันและเข้าสู่เกมที่แนะนำทันที	SETELAH PEMBELIAN, SETUJUI UNTUK KEHILANGAN STATUS PERMAINAN SAAT INI DAN SEGERA MASUK KE PERMAINAN UNGGULAN.	SAU KHI MUA, ĐỒNG Ý BỎ TRẠNG THÁI TRÒ CHƠI HIỆN TẠI VÀ VÀO TRÒ CHƠI NỔI BẬT NGAY LẬP TỨC.	APOS A COMPRA, CONCORDA EM ABANDONAR O ESTADO ATUAL DO JOGO E ENTRAR IMEDIATAMENTE NO JOGO EM DESTAQUE	구매 후 현재 게임 상태를 포기하고 추천 게임에 즉시 참여하는 데 동의합니다.	ဝယ်ယူပြီးနောက်၊ လက်ရှိဂိမ်းအခြေအနေအား စွန့်လွှတ်ရန် သဘောတူခွင့်ပြုပြီး အထူးပြုလုပ်ထားသောဂိမ်းကို ချက်ခြင်းထည့်သွင်းပါ။
L_18	TOTAL BET OPTIONS	押分选项	合計ベットオプション	OPCIONES DE APUESTA TOTAL	CHAGUO JUMLA LA DAU	SAMLEDE INDSATSMULIGHEDER	ตัวเลือกการเดิมพันรวม	TOTAL PILIHAN TARUHAN	TỔNG SỐ CÁC LỰA CHỌN CƯỢC	OPÇÕES DE APOSTA TOTAL 	총 베팅 옵션	စုစုပေါင်း လောင်းကစားရွေးချယ်မှုများ
L_19	AUTO SPIN	自动旋转	オートスピン	GIRO AUTOMÁTICO	SPIN AUTO	AUTOSPIN	หมุนอัตโนมัติ	PUTARAN OTOMATIS	QUAY TỰ ĐỘNG	AUTO GIRO	자동 회전	အလိုအလျောက်လှည့်ခြင်း။
L_20	number of spins	自动场次	スピン数	número de giros	idadi ya spins	antal spins	จำนวนรอบการหมุน	jumlah putaran	số vòng quay	NÚMERO DE GIROS	스핀 횟수	ဝင်သွားသောအရေအတွက်
L_21	GAME RULE	游戏规则	ゲームルール	REGLA DEL JUEGO	KANUNI YA MCHEZO	SPILREGELEN	กฎของเกม	ATURAN PERMAINAN	LUẬT TRÒ CHƠI	REGRA	게임 규칙	ဂိမ်းစည်းမျဉ်း
L_22	Basic Rule	基本玩法	基本ルール	Regla básica	Kanuni ya Msingi	Grundregel	กฎพื้นฐาน	Aturan Dasar	Quy tắc cơ bản	REGRA BÁSICA	기본 규칙	အခြေခံစည်းမျဉ်း
L_23	WHEN A WINNING COMBINATION APPEARS ON THE REELS, THE WINNING SYMBOLS EXCEPT FOR THE GOLDEN CARD AND <sprite name=wildCards_Scatter> WILL BE REMOVED FROM THE REELS.NEW SYMBOLS WILL FILL IN FROM THE TOP TO OCCUPY THE SPACES ON REELS 1, 2, 3, 4, AND 5. THE ACTION WILL END WHEN THERE ARE NO MORE WINNING COMBINATIONS.	当在转轮中出现中奖组合时，除黄金扑克牌 <sprite name=wildCards_Scatter> 外的中奖标志将从转轮中移除。新的标志将从顶部填补至转轮1、2、3、4、5空格处。当不再有中奖组合时，游戏结束	リール上に勝利の組み合わせが現れると、ゴールデン カードと <sprite name=wildCards_Scatter> を除く勝利シンボルがリールから削除されます。新しいシンボルが上から埋められ、リール 1、2、3、4、5 のスペースが埋められます。勝利の組み合わせがなくなるとアクションは終了します。	CUANDO APARECE UNA COMBINACIÓN GANADORA EN LOS CARRETES, LOS SÍMBOLOS GANADORES EXCEPTO LA CARTA DORADA Y <sprite name=wildCards_Scatter> SERÁN ELIMINADOS DE LOS CARRETES. NUEVOS SÍMBOLOS SE LLENARÁN DESDE ARRIBA PARA OCUPAR LOS ESPACIOS EN LOS CARRETES 1, 2, 3, 4 Y 5. LA ACCIÓN TERMINARÁ CUANDO NO HAYA MÁS COMBINACIONES GANADORAS.	WAKATI MCHANGANYIKO WA USHINDI UKITOKEA KWENYE RIWAYA, ALAMA ZILIZOSHINDA ISIPOKUWA KADI YA DHAHABU NA <sprite name=wildCards_Scatter> ZITAONDOLEWA KUTOKA KWENYE REELS.ISHARA MPYA ZITAJAA KUTOKA JUU ILI KUCHUKUA NAFASI 3, 5, 2, AEL. ITAISHA WAKATI HAKUNA MCHANGANYIKO TENA WA USHINDI.	NÅR EN VINDER KOMBINATION VISES PÅ HJULENE, VIL VINDERSYMBOLERNE UNDTAGET DET GULDNE KORT OG <sprite name=wildCards_Scatter> BLI FJERNET FRA HJULENE. NYE SYMBOLER VIL FYLDES FRA TOPPEN TIL 1 OPTAGELSE AF 4, 3 PLADER, OG 5. HANDLINGEN SLUTTER, NÅR DER IKKE ER FLERE VINDENDE KOMBINATIONER.	เมื่อชุดค่าผสมที่ชนะปรากฏบนรีล สัญลักษณ์ที่ชนะ ยกเว้นไพ่ทองคำและ <sprite name=wildCards_Scatter> จะถูกลบออกจากรีล สัญลักษณ์ใหม่จะเติมเต็มจากด้านบนเพื่อครอบครองพื้นที่บนรีล 1, 2, 3, 4 และ 5 การกระทำจะสิ้นสุดลงเมื่อไม่มีชุดค่าผสมที่ชนะอีกต่อไป	KETIKA KOMBINASI PEMENANG MUNCUL DI GULUNGAN, SIMBOL PEMENANG KECUALI KARTU EMAS DAN <sprite name=wildCards_Scatter> AKAN DIHAPUS DARI GULUNGAN. SIMBOL BARU AKAN TERISI DARI ATAS UNTUK MENGISI RUANG DI GULUNGAN 1, 2, 3, 4, DAN 5. AKSI AKAN BERAKHIR KETIKA TIDAK ADA LAGI KOMBINASI PEMENANG.	KHI MỘT TỔ HỢP CHIẾN THẮNG XUẤT HIỆN TRÊN CÁC CUỘN, CÁC BIỂU TƯỢNG CHIẾN THẮNG TRỪ LÁ BÀI VÀNG VÀ <sprite name=wildCards_Scatter> SẼ BỊ XÓA KHỎI CÁC CUỘN. CÁC BIỂU TƯỢNG MỚI SẼ ĐIỀN VÀO TỪ TRÊN ĐỂ CHIẾM CÁC KHOẢNG TRỐNG TRÊN CÁC CUỘN 1, 2, 3, 4 VÀ 5. HÀNH ĐỘNG SẼ KẾT THÚC KHI KHÔNG CÒN TỔ HỢP CHIẾN THẮNG NỮA.	QUANDO UMA COMBINAÇÃO VENCEDORA APARECE NAS ROLETA, OS SÍMBOLOS VENCEDORES, EXCETO O CARTÃO DOURADO E<sprite name=wildCards_Scatter>,SERÃO REMOVIDOS DAS ROLETA. NOVOS SÍMBOLOS PREENCHERÃO OS ESPAÇOS NAS ROLETA 1, 2, 3, 4 E 5. A AÇÃO TERMINARÁ QUANDO NÃO HOUVER MAIS COMBINAÇÕES VENCEDORAS.	릴에 당첨 조합이 나타나면 골든 카드와 <sprite name=wildCards_Scatter>를 제외한 당첨 심볼이 릴에서 제거됩니다. 새로운 심볼이 릴 1, 2, 3, 4, 5의 공간을 차지하기 위해 위에서부터 채워집니다. 더 이상 당첨 조합이 없으면 액션이 종료됩니다.	REELS တွင် အနိုင်ရရှိသော ပေါင်းစပ်မှုတစ်ခု ပေါ်လာသောအခါ၊ ရွှေကတ်နှင့် <sprite name=wildCards_Scatter> မှလွဲ၍ အနိုင်ရရှိထားသော သင်္ကေတများကို RELES မှ ဖယ်ထုတ်ပါမည်။ စံနမူနာအသစ်များ ဆက်လက်တည်ရှိနေပါမည် REELS 1၊ 2၊ 3၊ 4၊ နှင့် 5။ အနိုင်ရရှိသောပေါင်းစပ်မှုများမရှိတော့သောအခါ လုပ်ဆောင်ချက်သည် ပြီးဆုံးပါမည်။
L_24	BOOMING MULTIPLIERS	增倍转轮	急成長する乗数	MULTIPLICADORES EN AUGE	WAZIDISHAJI WANAOZIDISHA	BOMENDE MULTIPLIERERE	ตัวคูณที่เพิ่มขึ้นอย่างรวดเร็ว	PENGGANDA YANG SEDANG BERKEMBANG	Bùng nổ hệ số nhân	BOBINA MULTIPLICADOR	폭발적인 멀티플라이어	များပြားနေပါသည်။
L_25	IN THE BASE GAME, THE 'BOOMING MULTIPLIERS' DISPLAY x1  ` x2 ` x3 ` x5, WITH x1 HIGHLIGHTED AS THE STARTING MULTIPLIER.\nTHE "BOOMING MULTIPLIERS" WILL INCREASE TO X2, X3 AND X5 AFTER EACH CASCADING ROUND.\nWINNINGS AWARDED WILL BE MULTIPLIED WITH THE HIGHLIGHTED MULTIPLIER.\nTHE MULTIPLIER WILL RESET TO X1 ON THE START OF EACH GAME SPIN.	在一般游戏中，“增倍转轮“显示 x1x2x3~5，其中×1为起始乘数。.\n每轮级联后，“增倍转轮”将增加到 X2:X3 和 X5。\n所获得的奖金将与显示的乘数相乘。\n每次游戏开始时，乘数将重置为 X1°	ベースゲームでは、「BOOMING MULTIPLIERS」に x1 ` x2 ` x3 ` x5 と表示され、x1 が開始時の乗数としてハイライト表示されます。\n「BOOMING MULTIPLIERS」は、各カスケード ラウンドの後に X2、X3、X5 に増加します。\n獲得した賞金は、ハイライト表示された乗数で乗算されます。\n乗数は、各ゲーム スピンの開始時に X1 にリセットされます。	EN EL JUEGO BASE, LOS MULTIPLICADORES EN AUGE SE MUESTRAN x1 ` x2 ` x3 ` x5, CON x1 RESALTADO COMO EL MULTIPLICADOR INICIAL.\nLOS MULTIPLICADORES EN AUGE AUMENTARAN A X2, X3 Y X5 DESPUÉS DE CADA RONDA EN CASCADA.\nLAS GANANCIAS OTORGADAS SE MULTIPLICARAN CON EL MULTIPLICADOR RESALTADO.\nEL MULTIPLICADOR SE RESTABLECERÁ A X1 AL COMIENZO DE CADA GIRO DEL JUEGO.	KATIKA MCHEZO WA MSINGI, ONYESHO LA 'WAZINDISHI WANAOONGEZEKA' x1 ` x2 ` x3 ` x5, HUKU x1 ILIYOANGAZWA KWA WINGI UNAOANZA.\n"VIZIDISHI VINAVYOONGEZEKA" VITAONGEZEKA HADI X2, X3 NA X5 BAADA YA KILA MZUNGUKO WA KUPIGWA.\nKUSHINDA WINGI KWA WINGI WA JUU. MULTIPLIER.\nMULTIPLIER ITAWEKA UPYA KUWA X1 MWANZO WA KILA PINDU LA MCHEZO.	I BASESPILLET VISES 'BOMING MULTIPLIERS' x1 ` x2 ` x3 ` x5, MED x1 MARKEDET SOM STARTMULTIPLIER.\nDE "BOOMING MULTIPLIERS" VIL STØGES TIL X2, X3 OG X5 EFTER HVER KASCADENDE RUNDT VED DEN KOMPLETTE RUND\n. MARKEDET MULTIPLIER.\nMULTIPLIEREN NULSTILLES TIL X1 I STARTEN AF HVERT SPIL.	ในเกมพื้นฐาน 'ตัวคูณบูม' จะแสดง x1 ` x2 ` x3 ` x5 โดยที่ x1 จะถูกเน้นเป็นตัวคูณเริ่มต้น\n"ตัวคูณบูม" จะเพิ่มขึ้นเป็น x2, X3 และ X5 หลังจากรอบการเรียงซ้อนแต่ละรอบ\nเงินรางวัลที่ได้รับจะถูกคูณด้วยตัวคูณที่เน้นไว้\nตัวคูณจะรีเซ็ตเป็น x1 เมื่อเริ่มต้นการหมุนเกมแต่ละครั้ง	PADA PERMAINAN DASAR, 'BOOMING MULTIPLIERS' MENAMPILKAN x1 ` x2 ` x3 ` x5, DENGAN x1 DISOROT SEBAGAI MULTIPLIERS AWAL.\n"BOOMING MULTIPLIERS" AKAN MENINGKAT MENJADI X2, X3 DAN X5 SETELAH SETIAP ROUND BERUJUNG.\nKEMENANGAN YANG DIBERIKAN AKAN DIKALI DENGAN MULTIPLIERS YANG DISOROT.\nMULTIPLIERS AKAN DI-RESET MENJADI X1 PADA AWAL SETIAP PUTARAN PERMAINAN.	TRONG TRÒ CHƠI CƠ BẢN, 'BOOMING MULTIPLIERS' HIỂN THỊ x1 ` x2 ` x3 ` x5, VỚI x1 ĐƯỢC ĐÁNH DẤU LÀ SỐ NHÂN BẮT ĐẦU.\n"BOOMING MULTIPLIERS" SẼ TĂNG LÊN X2, X3 VÀ X5 SAU MỖI VÒNG XẾP HẠNG.\nTIỀN THƯỞNG ĐƯỢC TRAO SẼ ĐƯỢC NHÂN VỚI SỐ NHÂN ĐƯỢC ĐÁNH DẤU.\nSẼ ĐẶT LẠI THÀNH X1 KHI BẮT ĐẦU MỖI VÒNG QUAY.	NO JOGO BASE, OS "BOBINA MULTIPLICADOR" SÃO EXIBIDOS COMO x1 X2 X3 X5, SENDO x1 DESTACADO COMO O MULTIPLICADOR INICIAL.\nOS "BOBINA MULTIPLICADOR" AUMENTARÃO PARA X2, X3 E X5 APÓS CADA RODADA DE CASCATA..\nOS GANHOS CONCEDIDOS SERÃO MULTIPLICADOS PELO MULTIPLICADOR DESTACADO.\nO MULTIPLICADOR SERA REINICIADO PARA X1 NO INÍCIO DE CADA GIRO DO JOGO..	기본 게임에서 '붐밍 멀티플라이어'는 x1 ` x2 ` x3 ` x5로 표시되며, x1이 시작 멀티플라이어로서 강조 표시됩니다."붐밍 멀티플라이어"는 각 계단식 라운드 이후에 X2, X3, X5로 증가합니다. 수여되는 상금은 강조 표시된 멀티플라이어에 따라 곱해집니다. 멀티플라이어는 각 게임 스핀이 시작될 때 X1로 재설정됩니다.	အခြေခံဂိမ်းတွင်၊ 'Booming Multipliers' DISPLAY x1 `x2 `x3` x5, x1 ဖြင့် အစပျိုးသော အကြိမ်အရေအတွက်ကို ပေါ်လွင်စေပါသည်။\n "Booming Multipliers" သည် X2၊ X3 နှင့် X5 မှ တိုးလာပါမည်။ Highlighted MULTIPLIER ဖြင့် မြှောက်စားပါ။\nဂိမ်းတစ်ခုချင်းစီ လှည့်ခြင်းအစတွင် X1 သို့ ပြန်လည်သတ်မှတ်ပါမည်။
L_26	BOOMING MULTIPLIER UPGRADE	增倍轉輪升級	ブーム乗数アップグレード	MEJORA DEL MULTIPLICADOR EN AUGE	USASISHAJI UNAOZIDISHA WENGI	BOOMING MULTIPLIER OPGRADERING	การอัพเกรดตัวคูณแบบบูม	PENINGKATAN PENGGANDA YANG MENGGEMBIRAKAN	NÂNG CẤP NHÂN SỐ BÙNG NỔ	ATUALIZAÇÃO DA BOBINA MULTIPLICADOR	폭발적인 멀티플라이어 업그레이드	များပြားလှသော အဆင့်မြှင့်တင်မှု
